team,matches,passes_pm,central,hub,hub_x,strong_links,link_len,height,spread
Algeria,4,601,14.9,Aïssa Mandi,42.1,32,27.0,49.1,22.3
Argentina,8,592,11.1,Leandro Paredes,49.9,35,24.4,48.8,21.0
Australia,4,342,13.0,Harry Souttar,33.1,26,22.5,44.5,18.1
Belgium,6,453,13.4,Brandon Mechele,40.2,32,21.2,47.1,15.3
Brazil,5,499,16.0,Gabriel Magalhães,40.8,30,26.1,50.2,24.0
Canada,5,361,13.1,Stephen Eustaquio,62.5,23,25.1,53.4,18.4
Colombia,5,498,13.0,Davinson Sánchez,37.0,35,27.5,47.8,21.7
Croatia,4,422,14.2,Josip Sutalo,38.7,27,25.6,44.1,21.4
Ecuador,4,436,15.3,Pedro Vite,53.0,28,27.6,49.9,25.0
Egypt,5,465,13.6,Marwan Attia,49.9,30,27.5,44.7,22.3
England,8,455,13.4,Marc Guéhi,41.6,25,21.5,46.5,17.0
France,8,488,10.0,Dayot Upamecano,42.3,32,24.3,51.0,20.0
Germany,4,617,14.4,Jonathan Tah,46.8,36,24.0,52.0,18.7
Ivory Coast,4,437,9.5,Ibrahim Sangaré,47.1,29,27.8,45.3,24.0
Mexico,5,389,10.8,Johan Vásquez,37.1,25,25.7,43.9,23.1
Morocco,6,546,12.3,Achraf Hakimi,54.2,34,26.0,44.1,22.9
Netherlands,4,461,18.3,Jan Paul van Hecke,47.7,26,25.4,53.3,26.0
Norway,6,461,14.2,Sander Berge,47.5,30,25.8,47.8,23.0
Paraguay,5,197,8.6,Andrés Cubas,45.6,8,19.0,41.2,22.3
Portugal,5,537,13.9,Vitinha,49.3,33,25.2,47.9,20.0
Senegal,4,505,13.1,Moussa Niakhaté,37.0,26,26.5,52.8,27.1
Spain,8,624,14.7,Rodri,51.5,35,27.2,51.8,22.9
Switzerland,6,474,15.2,Manuel Akanji,36.8,23,27.4,50.3,22.3
USA,5,460,12.3,Chris Richards,39.2,25,25.9,54.4,23.1
